Comment,Designator,Footprint,LCSC Part Number,,Supplier and ref
S8050,"Q3,Q2",SOT-23,C2146,,
DW01,U2,SOT-23-6,C14213,,
TP4054,U1,SOT-23-5,C32574,,
5.1,R7,R_0805_2012Metric,C17724,,
1k,"R6,R2",R_0805_2012Metric,C17513,,
4.7k,R5,R_0805_2012Metric,C17673,,
1.8k,R4,R_0805_2012Metric,C17398,,
2k,R3,R_0805_2012Metric,C17604,,
470,R1,R_0805_2012Metric,C17710,,
FS8205,Q1,SOT-23-6,C32254,,
0.1u,"C3,C2",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C49678,,
1u,C1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C28323,,
